SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_479,2,digit,yes,48,46,94,94,1,3703,0
Sub_479,3,word,no,52,22,74,74,1,8606,0
Sub_479,1,digit,no,72,22,94,94,1,2504,0
Sub_479,4,word,yes,47,27,74,74,1,8696,0
Sub_479,1,digit,no,23,44,67,67,1,3266,1
Sub_479,4,word,yes,38,18,56,56,1,6279,0
Sub_479,3,word,no,41,12,53,53,1,4195,0
Sub_479,1,digit,no,62,23,85,85,1,2507,0
Sub_479,4,word,yes,25,28,53,53,1,4717,0
Sub_479,4,word,yes,46,37,83,83,1,7062,0
Sub_479,3,word,no,42,14,56,56,1,4679,0
Sub_479,3,word,no,52,33,85,85,1,6397,0
Sub_479,1,digit,no,41,21,62,62,1,2480,0
Sub_479,4,word,yes,48,28,76,76,1,4238,0
Sub_479,4,word,yes,28,34,62,62,1,5364,0
Sub_479,3,word,no,51,11,62,62,1,4626,0
Sub_479,2,digit,yes,49,39,88,88,1,3620,0
Sub_479,2,digit,yes,39,37,76,76,1,4229,0
Sub_479,1,digit,no,52,24,76,76,1,3507,0
Sub_479,1,digit,no,64,24,88,88,1,1917,0
Sub_479,3,word,no,54,34,88,88,1,7964,0
Sub_479,4,word,yes,57,37,94,94,1,4575,1
Sub_479,1,digit,no,32,42,74,74,1,2629,0
Sub_479,1,digit,no,21,32,53,53,1,2264,0
Sub_479,2,digit,yes,28,39,67,67,1,3047,0
Sub_479,2,digit,yes,45,38,83,83,1,3895,0
Sub_479,1,digit,no,22,34,56,56,1,2227,0
Sub_479,4,word,yes,48,37,85,85,1,7512,0
Sub_479,3,word,no,62,32,94,94,1,3718,0
Sub_479,2,digit,yes,36,38,74,74,1,2735,0
Sub_479,3,word,no,61,22,83,83,1,4785,0
Sub_479,2,digit,yes,26,27,53,53,1,2545,0
Sub_479,4,word,yes,59,29,88,78,0,4926,0
Sub_479,3,word,no,33,34,67,72,0,4434,0
Sub_479,2,digit,yes,27,29,56,56,1,2227,0
Sub_479,3,word,no,62,14,76,76,1,4592,0
Sub_479,4,word,yes,29,38,67,57,0,7152,0
Sub_479,2,digit,yes,59,26,85,85,1,4274,0
Sub_479,2,digit,yes,27,35,62,62,1,5565,0
Sub_479,1,digit,no,51,32,83,83,1,2441,0
Sub_3348,1,digit,no,23,44,67,67,1,5645,0
Sub_3348,1,digit,no,64,24,88,88,1,3189,0
Sub_3348,2,digit,yes,48,46,94,94,1,5724,0
Sub_3348,2,digit,yes,59,26,85,85,1,6490,1
Sub_3348,2,digit,yes,36,38,74,74,1,3881,0
Sub_3348,3,word,no,33,34,67,67,1,4906,0
Sub_3348,4,word,yes,48,28,76,76,1,7234,0
Sub_3348,3,word,no,52,22,74,74,1,10905,0
Sub_3348,3,word,no,62,14,76,76,1,4283,0
Sub_3348,2,digit,yes,27,29,56,56,1,10020,0
Sub_3348,3,word,no,51,11,62,62,1,4212,0
Sub_3348,4,word,yes,48,37,85,85,1,6366,0
Sub_3348,4,word,yes,25,28,53,53,1,8332,1
Sub_3348,3,word,no,41,12,53,53,1,7284,0
Sub_3348,1,digit,no,51,32,83,83,1,5100,0
Sub_3348,1,digit,no,62,23,85,85,1,3889,0
Sub_3348,4,word,yes,46,37,83,83,1,8617,0
Sub_3348,2,digit,yes,49,39,88,88,1,6433,0
Sub_3348,3,word,no,61,22,83,83,1,6788,0
Sub_3348,4,word,yes,47,27,74,74,1,14877,0
Sub_3348,1,digit,no,41,21,62,62,1,3625,0
Sub_3348,3,word,no,42,14,56,56,1,18676,0
Sub_3348,3,word,no,62,32,94,94,1,4609,0
Sub_3348,2,digit,yes,26,27,53,53,1,8606,0
Sub_3348,2,digit,yes,39,37,76,76,1,4933,0
